evidence_lane,expectancy,friction_bps_per_side,net_pnl,normalization,overlay_name,partition,profit_factor,strategy_id,trades
PRICE_STRUCTURE_CANDIDATE_OVERLAY,-2.888196271996582,0.0,-34.65835526395898,net_return_pct,COMMON_OPTION_OVERLAY_V1,validation,0.6926001296270367,MEAN_REVERSION_EXTENSION,12
PRICE_STRUCTURE_CANDIDATE_OVERLAY,-377.1009950520832,5.0,-4525.2119406249985,one_lot_rupee,COMMON_OPTION_OVERLAY_V1,validation,0.5119303565624375,MEAN_REVERSION_EXTENSION,12
PRICE_STRUCTURE_CANDIDATE_OVERLAY,-5.949770156249998,5.0,-71.39724187499998,per_option_unit,COMMON_OPTION_OVERLAY_V1,validation,0.4851256640283087,MEAN_REVERSION_EXTENSION,12
PRICE_STRUCTURE_CANDIDATE_OVERLAY,-2.986752173860584,5.0,-35.841026086327005,net_return_pct,COMMON_OPTION_OVERLAY_V1,validation,0.6836359125742708,MEAN_REVERSION_EXTENSION,12
PRICE_STRUCTURE_CANDIDATE_OVERLAY,-393.9998601562499,15.0,-4727.9983218749985,one_lot_rupee,COMMON_OPTION_OVERLAY_V1,validation,0.4951420050894334,MEAN_REVERSION_EXTENSION,12
PRICE_STRUCTURE_CANDIDATE_OVERLAY,-6.199935468749999,15.0,-74.39922562499999,per_option_unit,COMMON_OPTION_OVERLAY_V1,validation,0.46887201090380004,MEAN_REVERSION_EXTENSION,12
PRICE_STRUCTURE_CANDIDATE_OVERLAY,-3.183863977588587,15.0,-38.20636773106305,net_return_pct,COMMON_OPTION_OVERLAY_V1,validation,0.6659631150388539,MEAN_REVERSION_EXTENSION,12
PRICE_STRUCTURE_CANDIDATE_OVERLAY,-410.89872526041654,25.0,-4930.7847031249985,one_lot_rupee,COMMON_OPTION_OVERLAY_V1,validation,0.47868505640667697,MEAN_REVERSION_EXTENSION,12
PRICE_STRUCTURE_CANDIDATE_OVERLAY,-6.450100781249997,25.0,-77.40120937499997,per_option_unit,COMMON_OPTION_OVERLAY_V1,validation,0.45294197238018574,MEAN_REVERSION_EXTENSION,12
PRICE_STRUCTURE_CANDIDATE_OVERLAY,-3.380975781316591,25.0,-40.57170937579909,net_return_pct,COMMON_OPTION_OVERLAY_V1,validation,0.6486231424234817,MEAN_REVERSION_EXTENSION,12
PRICE_STRUCTURE_CANDIDATE_OVERLAY,247.3538602941176,0.0,16820.062499999996,one_lot_rupee,COMMON_OPTION_OVERLAY_V1,development,1.439863099003153,OPENING_DRIVE,68
PRICE_STRUCTURE_CANDIDATE_OVERLAY,3.458124999999999,0.0,235.15249999999992,per_option_unit,COMMON_OPTION_OVERLAY_V1,development,1.334947636055451,OPENING_DRIVE,68
PRICE_STRUCTURE_CANDIDATE_OVERLAY,4.011240852538186,0.0,272.7643779725966,net_return_pct,COMMON_OPTION_OVERLAY_V1,development,1.4959184546474786,OPENING_DRIVE,68
PRICE_STRUCTURE_CANDIDATE_OVERLAY,239.6381833639705,5.0,16295.396468749996,one_lot_rupee,COMMON_OPTION_OVERLAY_V1,development,1.4235191479549156,OPENING_DRIVE,68
PRICE_STRUCTURE_CANDIDATE_OVERLAY,3.327026231617646,5.0,226.23778374999992,per_option_unit,COMMON_OPTION_OVERLAY_V1,development,1.3203613062814206,OPENING_DRIVE,68
PRICE_STRUCTURE_CANDIDATE_OVERLAY,3.9092352321119157,5.0,265.8279957836103,net_return_pct,COMMON_OPTION_OVERLAY_V1,development,1.4806637244158072,OPENING_DRIVE,68
PRICE_STRUCTURE_CANDIDATE_OVERLAY,224.20682950367643,15.0,15246.064406249998,one_lot_rupee,COMMON_OPTION_OVERLAY_V1,development,1.3914275895559105,OPENING_DRIVE,68
PRICE_STRUCTURE_CANDIDATE_OVERLAY,3.0648286948529404,15.0,208.40835124999995,per_option_unit,COMMON_OPTION_OVERLAY_V1,development,1.2916955506791776,OPENING_DRIVE,68
PRICE_STRUCTURE_CANDIDATE_OVERLAY,3.7052239912593783,15.0,251.95523140563773,net_return_pct,COMMON_OPTION_OVERLAY_V1,development,1.450649480696372,OPENING_DRIVE,68
PRICE_STRUCTURE_CANDIDATE_OVERLAY,208.7754756433823,25.0,14196.732343749996,one_lot_rupee,COMMON_OPTION_OVERLAY_V1,development,1.3601072700819892,OPENING_DRIVE,68
PRICE_STRUCTURE_CANDIDATE_OVERLAY,2.802631158088234,25.0,190.5789187499999,per_option_unit,COMMON_OPTION_OVERLAY_V1,development,1.263686317900803,OPENING_DRIVE,68
