hypothesis_id,family,event_type,direction,instrument,sample,screen_rejection_reason,gross_pnl,net_pnl,net_2x_cost,expectancy,win_rate,profit_factor,target30_rate,stop20_rate,top5_contribution,top10_contribution,max_month_share,max_weekday_share,months,weekdays
SESPRINT_f7236ad9dde725,vwap_reclaim,vwap_rejection,DOWN,NIFTY,189,development_weak_premium_move_proxy,2143.100000000002,1859.6000000000022,1576.1000000000022,9.839153439153451,0.48677248677248675,1.7018285433925202,0.43386243386243384,0.6031746031746031,0.8061411056141128,1.1124435362443565,0.5396825396825397,0.24338624338624337,"['2024-05', '2024-06', '2024-07']","['Friday', 'Monday', 'Thursday', 'Tuesday', 'Wednesday']"
SESPRINT_d40a3daf7c5b76,vwap_reclaim,vwap_rejection,DOWN,NIFTY,165,development_weak_premium_move_proxy,1837.9000000000124,1590.4000000000124,1342.9000000000124,9.638787878787953,0.48484848484848486,1.7231227408097909,0.36363636363636365,0.5696969696969697,0.9214034205231348,1.23132545271629,0.509090909090909,0.24242424242424243,"['2024-05', '2024-06', '2024-07']","['Friday', 'Monday', 'Thursday', 'Tuesday', 'Wednesday']"
SESPRINT_81eab52bbc53a3,failed_breakout_reversal,session_low_sweep_reclaim,UP,NIFTY,52,development_weak_premium_move_proxy,573.6500000000051,495.6500000000051,417.6500000000051,9.531730769230867,0.6153846153846154,2.220361935245596,0.4230769230769231,0.5384615384615384,0.9213154443659776,1.264400282457375,0.4423076923076923,0.38461538461538464,"['2024-05', '2024-06', '2024-07']","['Friday', 'Monday', 'Thursday', 'Tuesday', 'Wednesday']"
SESPRINT_9b2627e98bc22b,liquidity_sweep_reversal,session_low_sweep_reclaim,UP,NIFTY,52,development_weak_premium_move_proxy,573.6500000000051,495.6500000000051,417.6500000000051,9.531730769230867,0.6153846153846154,2.220361935245596,0.4230769230769231,0.5384615384615384,0.9213154443659776,1.264400282457375,0.4423076923076923,0.38461538461538464,"['2024-05', '2024-06', '2024-07']","['Friday', 'Monday', 'Thursday', 'Tuesday', 'Wednesday']"
SESPRINT_48d08cd837fc29,liquidity_sweep_reversal,long_upper_wick,DOWN,NIFTY,48,development_weak_premium_move_proxy,521.099999999984,449.099999999984,377.099999999984,9.356249999999667,0.4375,1.9651837524177544,0.3333333333333333,0.4375,0.9647071921621364,1.6484079269650902,0.5208333333333334,0.25,"['2024-05', '2024-06', '2024-07']","['Friday', 'Monday', 'Thursday', 'Tuesday', 'Wednesday']"
SESPRINT_c9b4ae55f46a82,liquidity_sweep_reversal,long_upper_wick,DOWN,NIFTY,48,development_weak_premium_move_proxy,521.099999999984,449.099999999984,377.099999999984,9.356249999999667,0.4375,1.9651837524177544,0.3333333333333333,0.4375,0.9647071921621364,1.6484079269650902,0.5208333333333334,0.25,"['2024-05', '2024-06', '2024-07']","['Friday', 'Monday', 'Thursday', 'Tuesday', 'Wednesday']"
SESPRINT_ef6ac6e3b84d01,trend_continuation,compression_expansion_down,DOWN,NIFTY,41,development_weak_premium_move_proxy,438.9500000000007,377.4500000000007,315.9500000000007,9.206097560975628,0.5121951219512195,1.5501384637807922,0.43902439024390244,0.5853658536585366,1.729368128228901,2.5188766724069365,0.7804878048780488,0.2682926829268293,"['2024-05', '2024-06', '2024-07']","['Friday', 'Monday', 'Thursday', 'Tuesday', 'Wednesday']"
SESPRINT_dbd6ad5216d087,compression_expansion,compression_expansion_down,DOWN,NIFTY,41,development_weak_premium_move_proxy,438.9500000000007,377.4500000000007,315.9500000000007,9.206097560975628,0.5121951219512195,1.5501384637807922,0.43902439024390244,0.5853658536585366,1.729368128228901,2.5188766724069365,0.7804878048780488,0.2682926829268293,"['2024-05', '2024-06', '2024-07']","['Friday', 'Monday', 'Thursday', 'Tuesday', 'Wednesday']"
SESPRINT_b019920bd182bc,liquidity_sweep_reversal,long_upper_wick,DOWN,NIFTY,52,development_weak_premium_move_proxy,554.1999999999862,476.1999999999862,398.1999999999862,9.157692307692042,0.4423076923076923,1.6613429622942566,0.36538461538461536,0.4807692307692308,1.0395842083158624,1.8075388492230604,0.5192307692307693,0.2692307692307692,"['2024-05', '2024-06', '2024-07']","['Friday', 'Monday', 'Thursday', 'Tuesday', 'Wednesday']"
SESPRINT_7b9497b6812d29,vwap_reclaim,vwap_rejection,DOWN,NIFTY,182,development_weak_premium_move_proxy,1931.6499999999905,1658.6499999999905,1385.6499999999905,9.113461538461486,0.5,1.6236933142814096,0.42857142857142855,0.6153846153846154,0.9038073131763871,1.216531516594832,0.5164835164835165,0.24175824175824176,"['2024-05', '2024-06', '2024-07']","['Friday', 'Monday', 'Thursday', 'Tuesday', 'Wednesday']"
SESPRINT_b0f08c6c9a26b1,vwap_reclaim,vwap_rejection,DOWN,NIFTY,145,development_weak_premium_move_proxy,1535.2000000000007,1317.7000000000007,1100.2000000000007,9.087586206896557,0.47586206896551725,1.6453935445951857,0.41379310344827586,0.6206896551724138,0.9758290961523879,1.335167337026641,0.5241379310344828,0.2413793103448276,"['2024-05', '2024-06', '2024-07']","['Friday', 'Monday', 'Thursday', 'Tuesday', 'Wednesday']"
